Index|Steel|C|Mn|Cr|Ni|V|Mo|W|Co|Si|S|P|Rw|Type|cluster|d0|d1|d2|d3|d4|d5|d6|d7|d8|d9|d10|d11|d12|d13|d14
46|CPM-20CV|1.9|0.0|20.0|0.0|4.0|1.0|0.6|0.0|0.0|0.0|0.0|61.0|Stainless|12|5.802783814687568|8.592085812271788|18.922957257047344|12.586614010527216|11.85388543896051|6.393983839426166|6.129107969354104|7.713570293104658|15.888436046382918|16.177283939730632|10.134131684559856|5.956853196109504|1.3926373452949627|20.09489051973163|11.463407967189436
47|CPM-CruWear|1.1|0.0|7.5|0.0|2.4|1.6|1.15|0.0|1.2|0.003|0.0|64.0|Non_Stainless|3|7.096253166284303|5.94319699005384|6.7240382792346045|0.1971097410073891|7.69922781842439|8.424719697129788|8.49626232528163|7.537130908597336|7.916090512367831|3.7906046131630946|11.843907041175221|8.330302655566202|11.537538945475651|7.854360826954666|2.1745477435294194
48|CPM-D2|1.55|0.0|11.5|0.0|0.8|0.9|0.0|0.0|0.4|0.03|0.03|58.0|Non_Stainless|14|3.686678722102049|1.7059979723413075|10.053601838319906|4.493224037370049|9.03788692117798|4.093299655060171|4.1493450688030284|4.153327982875098|10.98351036781957|7.668435455380279|11.623464414708721|4.162899630465924|8.091716853218053|11.233228609798697|2.773353365312269
49|CPM-S110V|2.8|0.4|15.25|0.0|9.0|2.25|0.2|2.5|0.0|0.0|0.0|59.5|Stainless|4|6.739087475318895|10.066244182353987|16.74739373951441|10.657736732064645|5.608172607900011|9.677360283988383|9.511972166696033|9.517483911202582|10.426044312202016|13.982531327815195|3.9058449790026217|8.561275216539494|6.4759011665070485|17.821647651101173|10.426954919289184
50|CPM-S30V|1.45|0.0|14.0|0.0|4.0|2.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|0|1.167818479045438|4.602955627659697|13.200137063489075|6.797378336535344|7.168584239583155|4.5746865041847675|4.398109196006848|4.311805499633148|10.591501310012665|10.412509255698168|8.130382832314845|3.9470579760964575|4.914244185871044|14.357319561812364|5.795160816482049
51|CPM-S35VN|1.4|0.0|14.0|0.0|3.0|2.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|0|0.5935486500700676|3.776636893386733|12.942469843030546|6.631202926317366|7.90630128441865|3.737017803826429|3.5596298262600286|3.4673476895171613|11.170604280879347|10.1971163734329|9.112662892919937|3.1750223096329044|5.092797034307677|14.108849173479742|5.408301232570373
52|CPM-S60V|2.15|0.4|17.0|0.0|5.5|0.4|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|12|3.885588758476636|7.179216732426766|16.411705010511273|10.138557700679124|8.820408153821456|5.920943741785463|5.715528365776868|7.0984740144155865|12.563833013853694|13.760947726567867|7.453061451511048|5.3671780294676275|2.1852940772540514|17.573207589964905|9.240520668351012
53|CPM-S90V|2.3|0.0|14.0|0.0|9.0|1.0|0.0|0.0|0.0|0.0|0.0|57.5|Stainless|12|6.099532768991409|9.21933969000643|15.38202745072632|9.418325342118948|5.30533693557723|9.23933942309766|9.08296011771493|9.361223210670707|8.848864333913138|12.728623216986195|3.4540736819008346|8.558744066742504|6.637297981091096|16.442889800761908|9.303926888983789
54|CPM-SPY27|1.25|0.5|14.0|0.0|2.0|2.0|0.0|1.5|0.0|0.0|0.0|60.5|Stainless|11|1.9385045782767703|3.3486117287921093|12.827677829400688|6.786630404700111|8.441125517370299|3.1875799131126645|3.122141012190193|3.067843976910603|11.900415959116723|10.193642577606889|10.180035608975048|2.077321993978465|5.669323106844055|13.995378701557168|5.404679042788346
55|CRU-WEAR|1.1|0.0|7.5|0.0|2.4|1.6|1.15|0.0|0.0|0.0|0.0|61.0|Stainless|9|6.994054618030946|5.820788732000589|6.659299399703994|1.2160806922239988|7.648405062495056|8.338818439995359|8.41109175434438|7.440990077491927|7.961463433314254|3.612295991932739|11.782959093538429|8.243417576062328|11.4749638743818|7.8045579631392314|2.246973272847029
56|CTS-40CP|1.05|1.0|17.0|0.0|0.0|0.75|0.0|0.0|0.0|0.0|0.0|59.5|Stainless|5|4.187397759945907|4.5486298864094685|15.482260030039384|9.889633575112882|12.143788535708287|1.7843211779597588|1.6914238085116333|4.40160955409117|15.377008811859348|13.122544811633654|12.591887269190428|2.456711894653774|4.890604278009174|16.64748104068601|8.294358859423005
57|CTS-BD1|0.9|0.6|15.5|0.0|0.1|0.3|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|1|3.4398110413218923|2.992368950977722|13.967526519263407|8.482207982005628|11.337310086612257|0.5154276888947067|0.6115263690144521|3.968941924493227|14.22717118755517|11.661811565961784|12.315665836648865|1.8029882602686758|5.547020711653257|15.129627391314036|6.859280007568012
58|CTS-BD1N|0.9|1.0|16.0|0.0|0.125|0.5|0.0|0.0|0.0|0.0|0.0|61.5|Stainless|5|3.6263514722100503|3.5348407771394585|14.474511116660437|8.944186785281262|11.549252140290298|0.7641958177940281|0.8270214628412006|4.02655249562203|14.57087934889312|12.151343163069122|12.338456143294428|1.939430758409969|5.272441104847131|15.640180625555448|7.337882111950893
59|CTS-XHP|1.6|0.5|16.0|0.35|0.45|0.8|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|6|3.1601107575526526|3.6536688065969143|14.499771325607103|8.818948477568059|11.14139129552499|1.387175768087897|1.0021549281423505|3.790448522272793|14.281540533149776|12.091161331043985|11.851503069231343|1.7709978354965128|4.830129714741053|15.65814883694749|7.237153369170015
60|D-2|1.5|0.6|12.0|0.3|1.1|0.95|0.0|0.0|0.25|0.03|0.03|59.0|Non_Stainless|2|3.1446939437725883|1.5620729620525124|10.551395774048675|4.885443915346895|8.873240670690727|3.5967930504734196|3.6357000013752514|3.840047742758762|11.042418213416843|8.146414487368048|11.222852801315714|3.709164326367867|7.521242976953169|11.722987034028488|3.245353944059449
61|DM1|0.95|0.46|0.45|0.0|0.19|0.0|0.0|0.0|0.0|0.0|0.0|58.5|Non_Stainless|1|14.289303691922852|12.070445825029248|1.154734939547706|7.858247403206391|13.458577190773177|14.842238935267492|15.008970467690315|14.208619449709625|10.917421856830487|4.569450988174983|18.22308494739571|15.002382033086167|18.803130329923306|0.9580318366317478|8.741343654661389
62|ELMAX|1.7|0.3|18.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|60.0|Stainless|0|3.69165274639964|6.329134111823052|16.751575957692054|10.556365484862676|10.721874836053628|4.219169702110429|3.9549670668666757|5.695246555973968|14.478687785845787|14.122010562711434|9.989025227718667|3.8214438806991966|1.6555565067187454|17.92742661399009|9.283662471723586
63|G-2|0.9|0.6|15.5|0.0|0.0|0.3|0.0|0.0|0.0|0.0|0.0|57.0|Stainless|1|3.5242445999107384|2.9930770177216632|13.968286424531648|8.509867933757844|11.415980028013363|0.5163968459231123|0.6344008984861228|3.9735584388135865|14.295188001561923|11.672525390848376|12.4113103659525|1.8423083346714793|5.624132586180626|15.129296910299566|6.8782063230338055
64|GIN-1|0.9|0.6|15.5|0.0|0.0|0.3|0.0|0.0|0.0|0.0|0.0|57.0|Stainless|1|3.5242445999107384|2.9930770177216632|13.968286424531648|8.509867933757844|11.415980028013363|0.5163968459231123|0.6344008984861228|3.9735584388135865|14.295188001561923|11.672525390848376|12.4113103659525|1.8423083346714793|5.624132586180626|15.129296910299566|6.8782063230338055
65|Hitachi Super Blue Steel|1.45|0.25|0.4|0.0|0.5|0.4|2.25|0.0|0.15|0.004|0.025|63.0|Non_Stainless|9|14.405934228643416|12.351425928312286|2.581182327768357|7.729487774102498|13.24100604183836|15.085001201456164|15.233305796838716|14.337357067000411|10.797568291055168|4.0434798544488055|18.06574842069932|15.192676119323634|18.826787748268885|2.6009259889508582|8.969218280070763
66|K390|2.47|0.4|4.2|0.0|9.0|3.8|1.0|2.0|0.55|0.0|0.0|61.0|Non_Stainless|4|12.274375747874105|13.00678670964524|10.289810073662235|8.153579106748152|5.60817260790001|14.897123037465606|14.893039464796969|13.485420522425938|3.612865898424684|8.446591955733785|10.519601941138268|14.245557202159555|15.651621875925155|10.861824202223124|9.639923351470292
67|LV-03|0.95|0.65|13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|1|3.5633270969699087|1.0702182846834325|11.969345246827627|6.768814685748162|10.620786223251082|1.8852977273261535|2.111412915561521|4.053496433122068|12.957715848096068|9.781846229964295|12.378433867012417|2.6941479791082985|6.992506922501007|13.13431098307026|5.091468899596221
68|LV-04|0.9|0.7|18.0|0.0|0.1|1.15|0.0|0.0|0.0|0.0|0.0|59.0|Stainless|5|4.739915611063134|5.556262921520293|16.495590663933218|10.778930941888438|12.641186653158794|2.8251278768687893|2.6530010365621792|4.852662499425788|16.092386398542637|14.061840171186699|12.745121615739881|3.1466807909287535|4.53956529430126|17.65566835325132|9.208631216901287
